,Week,Date,Time (MST),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,10:00 a.m.,at Washington Commanders,L 16–20,0–1,FedExField,Fox,Recap
1,2,September 17,1:05 p.m.,New York Giants,L 28–31,0–2,State Farm Stadium,Fox,Recap
2,3,September 24,1:25 p.m.,Dallas Cowboys,W 28–16,1–2,State Farm Stadium,Fox,Recap
3,4,October 1,1:25 p.m.,at San Francisco 49ers,L 16–35,1–3,Levi's Stadium,Fox,Recap
4,5,October 8,1:05 p.m.,Cincinnati Bengals,L 20–34,1–4,State Farm Stadium,Fox,Recap
5,6,October 15,1:25 p.m.,at Los Angeles Rams,,,SoFi Stadium,Fox,
6,7,October 22,1:05 p.m.,at Seattle Seahawks,,,Lumen Field,Fox,
7,8,October 29,1:25 p.m.,Baltimore Ravens,,,State Farm Stadium,CBS,
8,9,November 5,11:00 a.m.,at Cleveland Browns,,,Cleveland Browns Stadium,CBS,
9,10,November 12,2:05 p.m.,Atlanta Falcons,,,State Farm Stadium,CBS,
10,11,November 19,11:00 a.m.,at Houston Texans,,,NRG Stadium,CBS,
11,12,November 26,2:05 p.m.,Los Angeles Rams,,,State Farm Stadium,CBS,
12,13,December 3,11:00 a.m.,at Pittsburgh Steelers,,,Acrisure Stadium,CBS,
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
14,15,December 17,2:05 p.m.,San Francisco 49ers,,,State Farm Stadium,CBS,
15,16,December 24,2:25 p.m.,at Chicago Bears,,,Soldier Field,Fox,
16,17,December 31,11:00 a.m.,at Philadelphia Eagles,,,Lincoln Financial Field,Fox,
17,18,TBD (January 6/7),TBD,Seattle Seahawks,,,State Farm Stadium,TBD,
