,Week,Date,Time (PT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:25 p.m.,at Seattle Seahawks,W 30–13,1–0,Lumen Field,Fox,Recap
1,2,September 17,1:05 p.m.,San Francisco 49ers,L 23–30,1–1,SoFi Stadium,Fox,Recap
2,3,September 25,5:15 p.m.,at Cincinnati Bengals,L 16–19,1–2,Paycor Stadium,ESPN,Recap
3,4,October 1,10:00 a.m.,at Indianapolis Colts,W 29–23 (OT),2–2,Lucas Oil Stadium,Fox,Recap
4,5,October 8,1:05 p.m.,Philadelphia Eagles,L 14–23,2–3,SoFi Stadium,Fox,Recap
5,6,October 15,1:25 p.m.,Arizona Cardinals,,,SoFi Stadium,Fox,
6,7,October 22,1:05 p.m.,Pittsburgh Steelers,,,SoFi Stadium,Fox,
7,8,October 29,10:00 a.m.,at Dallas Cowboys,,,AT&T Stadium,Fox,
8,9,November 5,10:00 a.m.,at Green Bay Packers,,,Lambeau Field,Fox,
9,10,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
10,11,November 19,1:25 p.m.,Seattle Seahawks,,,SoFi Stadium,CBS,
11,12,November 26,1:05 p.m.,at Arizona Cardinals,,,State Farm Stadium,Fox,
12,13,December 3,1:25 p.m.,Cleveland Browns,,,SoFi Stadium,Fox,
13,14,December 10,10:00 a.m.,at Baltimore Ravens,,,M&T Bank Stadium,Fox,
14,15,December 17,1:05 p.m.,Washington Commanders,,,SoFi Stadium,CBS,
15,16,December 21,5:15 p.m.,New Orleans Saints,,,SoFi Stadium,Prime Video,
16,17,December 31,10:00 a.m.,at New York Giants,,,MetLife Stadium,Fox,
17,18,TBD (January 6/7),TBD,at San Francisco 49ers,,,Levi's Stadium,TBD,
