,Week,Date,Time (CT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,12:00 p.m.,at Baltimore Ravens,L 9–25,0–1,M&T Bank Stadium,CBS,Recap
1,2,September 17,12:00 p.m.,Indianapolis Colts,L 20–31,0–2,NRG Stadium,Fox,Recap
2,3,September 24,12:00 p.m.,at Jacksonville Jaguars,W 37–17,1–2,EverBank Stadium,Fox,Recap
3,4,October 1,12:00 p.m.,Pittsburgh Steelers,W 30–6,2–2,NRG Stadium,CBS,Recap
4,5,October 8,12:00 p.m.,at Atlanta Falcons,L 19–21,2–3,Mercedes-Benz Stadium,Fox,Recap
5,6,October 15,12:00 p.m.,New Orleans Saints,,,NRG Stadium,Fox,
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
7,8,October 29,12:00 p.m.,at Carolina Panthers,,,Bank of America Stadium,Fox,
8,9,November 5,12:00 p.m.,Tampa Bay Buccaneers,,,NRG Stadium,CBS,
9,10,November 12,12:00 p.m.,at Cincinnati Bengals,,,Paycor Stadium,CBS,
10,11,November 19,12:00 p.m.,Arizona Cardinals,,,NRG Stadium,CBS,
11,12,November 26,12:00 p.m.,Jacksonville Jaguars,,,NRG Stadium,CBS,
12,13,December 3,3:05 p.m.,Denver Broncos,,,NRG Stadium,CBS,
13,14,December 10,12:00 p.m.,at New York Jets,,,MetLife Stadium,CBS,
14,15,December 17,12:00 p.m.,at Tennessee Titans,,,Nissan Stadium,CBS,
15,16,December 24,12:00 p.m.,Cleveland Browns,,,NRG Stadium,CBS,
16,17,December 31,12:00 p.m.,Tennessee Titans,,,NRG Stadium,Fox,
17,18,TBD (January 6/7),TBD,at Indianapolis Colts,,,Lucas Oil Stadium,TBD,
